DATE,RSAFS
2008-11-01,339350
2008-12-01,332091
2009-01-01,336929
2009-02-01,335576
2009-03-01,329747
2009-04-01,331352
2009-05-01,334256
2009-06-01,339883
2009-07-01,340517
2009-08-01,346668
2009-09-01,338507
2009-10-01,341654
2009-11-01,344375
2009-12-01,346072
2010-01-01,346046
2010-02-01,346702
2010-03-01,354147
2010-04-01,357304
2010-05-01,354015
2010-06-01,353683
2010-07-01,354622
2010-08-01,356573
2010-09-01,359257
2010-10-01,363557
2010-11-01,367050
2010-12-01,369192
2011-01-01,371782
2011-02-01,375001
2011-03-01,378434
2011-04-01,380295
2011-05-01,380140
2011-06-01,383141
2011-07-01,382882
2011-08-01,383682
2011-09-01,387558
2011-10-01,389844
2011-11-01,391167
2011-12-01,391535
2012-01-01,395459
2012-02-01,400155
2012-03-01,401556
2012-04-01,399953
2012-05-01,399106
2012-06-01,395630
2012-07-01,397399
2012-08-01,402164
2012-09-01,405251
2012-10-01,405422
2012-11-01,407266
2012-12-01,408758
2013-01-01,412017
2013-02-01,417067
2013-03-01,414115
2013-04-01,411862
2013-05-01,414350
2013-06-01,415454
2013-07-01,418215
2013-08-01,417389
2013-09-01,417699
2013-10-01,419288
2013-11-01,420468
2013-12-01,422930
2014-01-01,419051
2014-02-01,424784
2014-03-01,429251
2014-04-01,433581
2014-05-01,434292
2014-06-01,435487
2014-07-01,436102
2014-08-01,439643
2014-09-01,438535
2014-10-01,440128
2014-11-01,441139
2014-12-01,438604
2015-01-01,436142
2015-02-01,435398
2015-03-01,442001
2015-04-01,442898
2015-05-01,446305
2015-06-01,446649
2015-07-01,450262
2015-08-01,450270
2015-09-01,448091
2015-10-01,447083
2015-11-01,448892
2015-12-01,450611
2016-01-01,447561
2016-02-01,451821
2016-03-01,450561
2016-04-01,452443
2016-05-01,454003
2016-06-01,458757
2016-07-01,458192
2016-08-01,458505
2016-09-01,461454
2016-10-01,462455
2016-11-01,462288
2016-12-01,467979
2017-01-01,473101
2017-02-01,472927
2017-03-01,472170
2017-04-01,473916
2017-05-01,471486
2017-06-01,473538
2017-07-01,473583
2017-08-01,474421
2017-09-01,484107
2017-10-01,485016
2017-11-01,489917
2017-12-01,492859
2018-01-01,490447
2018-02-01,493422
2018-03-01,493123
2018-04-01,494303
2018-05-01,500585
2018-06-01,498989
2018-07-01,502441
2018-08-01,502076
2018-09-01,499995
2018-10-01,505338
2018-11-01,507073
2018-12-01,496683
2019-01-01,499639
2019-02-01,500570
2019-03-01,508402
2019-04-01,508687
2019-05-01,512334
2019-06-01,513162
2019-07-01,517547
2019-08-01,521011
2019-09-01,518121
2019-10-01,519530
2019-11-01,523313
2019-12-01,525405
2020-01-01,524991
2020-02-01,525359
2020-03-01,478099
2020-04-01,408187
2020-05-01,485791
2020-06-01,527459
2020-07-01,535844
2020-08-01,541193
2020-09-01,551970
2020-10-01,549765
2020-11-01,544839
2020-12-01,550198
2021-01-01,569309
2021-02-01,554929
2021-03-01,615573
2021-04-01,620556
2021-05-01,615378
2021-06-01,621612
2021-07-01,612394
2021-08-01,617658
2021-09-01,622104
2021-10-01,632065
2021-11-01,639228
2021-12-01,635598
2022-01-01,644750
2022-02-01,653552
2022-03-01,667050
2022-04-01,675899.0
2022-05-01,674915.0
2022-06-01,680515.0
2022-07-01,675822.0
2022-08-01,680252.0
2022-09-01,679379.0
2022-10-01,687498
2022-11-01,678482
2022-12-01,673619
2023-01-01,692501
2023-02-01,687942
2023-03-01,681673.0
2023-04-01,684636.0
2023-05-01,689158.0
2023-06-01,690518.0
2023-07-01,694415.0
2023-08-01,699882.0
2023-09-01,704881.0
