,ffr,change,decision,loan,exports,pce,ue,rgdp,cars,recess,gdpd,veloc,house,mich,cli,spx,usd,fed_party,potus_party
2018-03-14,1.7,28.0,1.0,4.5,2.6,1.79,4.0,3.3,17.662,0.0,2.6,5.579,1318.0,2.8,100.8117,2765.31005859375,89.66000366210938,1.0,1.0
2018-04-25,1.7,0.0,0.0,4.75,2.2,1.76,4.0,2.1,17.584,0.0,2.9,5.629,1276.0,2.7,100.8373,2634.56005859375,90.7699966430664,1.0,1.0
2018-06-06,1.9,20.0,1.0,4.75,2.2,1.9,4.0,2.1,17.743,0.0,2.9,5.629,1192.0,3.0,100.7822,2748.800048828125,93.88999938964844,1.0,1.0
2018-07-25,1.92,0.0,0.0,5.0,-4.9,1.93,3.8,2.5,17.629,0.0,1.7,5.636,1208.0,2.9,100.7105,2820.39990234375,94.61000061035156,1.0,1.0
2018-09-19,2.2,28.0,1.0,5.0,-4.9,1.94,3.7,2.5,17.776,0.0,1.7,5.636,1250.0,2.7,100.4742,2904.31005859375,94.62000274658205,1.0,1.0
2018-11-01,2.2,0.0,0.0,5.25,1.7,1.96,3.8,0.6,17.991,0.0,1.7,5.604,1221.0,2.9,100.2887,2711.739990234375,97.12999725341795,1.0,1.0
2018-12-12,2.4,20.0,1.0,5.25,1.7,2.02,3.9,0.6,18.077,0.0,1.7,5.604,1095.0,2.7,99.84918,2636.780029296875,97.38999938964844,1.0,1.0
2019-01-23,2.4,0.0,0.0,5.5,4.4,1.92,4.0,2.2,16.91,0.0,1.4,5.636,1232.0,2.7,99.64113,2632.89990234375,96.3000030517578,1.0,1.0
2019-03-13,2.4,0.0,0.0,5.5,4.4,2.0,3.8,2.2,17.732,0.0,1.4,5.636,1195.0,2.5,99.32806,2791.52001953125,96.94000244140624,1.0,1.0
2019-04-24,2.35,-5.0,-1.0,5.5,-2.8,2.12,3.6,3.4,16.868,0.0,2.0,5.627,1267.0,2.5,99.20252,2933.679931640625,97.56999969482422,1.0,1.0
2019-06-12,2.35,0.0,0.0,5.5,-2.8,2.0,3.6,3.4,17.815,0.0,2.0,5.627,1228.0,2.7,98.97952,2885.719970703125,96.69000244140624,1.0,1.0
2019-07-24,2.1,-25.0,-1.0,5.5,0.6,2.04,3.7,4.6,17.731,0.0,1.2,5.603,1245.0,2.6,98.89021,3005.469970703125,97.70999908447266,1.0,1.0
2019-09-11,1.8,-30.0,-1.0,5.25,0.6,2.01,3.5,4.6,17.746,0.0,1.2,5.603,1300.0,2.8,98.82976,2979.389892578125,98.33000183105467,1.0,1.0
2019-10-23,1.55,-25.0,-1.0,5.0,1.4,2.02,3.6,2.6,17.087,0.0,1.3,5.52,1332.0,2.5,98.8852,2995.989990234375,97.52999877929688,1.0,1.0
2019-12-04,1.55,0.0,0.0,4.75,1.4,1.93,3.6,2.6,17.551,0.0,1.3,5.52,1551.0,2.3,99.05483,3093.199951171875,97.73999786376952,1.0,1.0
2020-01-22,1.6,5.0,1.0,4.75,-15.4,1.98,3.5,-5.3,16.841,0.0,1.9,5.328,1572.0,2.5,99.09734,3320.7900390625,97.52999877929688,1.0,1.0
2020-03-08,0.1,-150.0,-1.0,4.25,-15.4,1.88,4.4,-5.3,11.736,1.0,1.9,5.328,1267.0,2.2,97.66722,2972.3701171875,95.9499969482422,1.0,1.0
2020-04-22,0.1,0.0,0.0,3.25,-61.5,1.74,14.7,-28.0,8.834,1.0,-1.6,1.589,925.0,2.1,92.62319,2736.56005859375,100.26000213623048,1.0,1.0
2020-06-03,0.1,0.0,0.0,3.25,-61.5,1.8,11.0,-28.0,13.545,0.0,-1.6,1.589,1266.0,3.0,96.17052,3080.820068359375,97.66999816894533,1.0,1.0
2020-07-22,0.1,0.0,0.0,3.25,62.0,1.85,10.2,34.8,15.279,0.0,3.6,1.278,1529.0,3.0,97.72092,3257.300048828125,95.12000274658205,1.0,1.0
2020-09-09,0.1,0.0,0.0,3.25,62.0,1.86,7.9,34.8,16.77,0.0,3.6,1.278,1463.0,2.6,98.72652,3331.840087890625,93.4800033569336,1.0,1.0
2020-10-29,0.1,0.0,0.0,3.25,25.8,1.79,6.9,4.2,16.663,0.0,2.8,1.252,1537.0,2.6,99.08319,3271.030029296875,93.41000366210938,1.0,1.0
2020-12-09,0.1,0.0,0.0,3.25,25.8,1.71,6.7,4.2,17.052,0.0,2.8,1.252,1663.0,2.5,99.89468,3702.25,90.97000122070312,1.0,1.0
2021-01-20,0.1,0.0,0.0,3.25,0.9,1.7,6.3,5.2,16.629,0.0,5.3,1.231,1602.0,3.0,100.2705,3798.909912109375,90.5,1.0,0.0
2021-03-10,0.1,0.0,0.0,3.25,0.9,1.81,6.1,5.2,18.287,0.0,5.3,1.231,1700.0,3.1,100.9771,3875.43994140625,91.95999908447266,1.0,0.0
2021-04-21,0.1,0.0,0.0,3.25,2.0,1.94,6.1,6.2,18.502,0.0,6.2,1.214,1484.0,3.4,101.2526,4134.93994140625,91.23999786376952,1.0,0.0
2021-06-09,0.15,5.0,1.0,3.25,2.0,2.08,5.9,6.2,15.996,0.0,6.2,1.214,1661.0,4.2,101.3408,4227.259765625,90.08000183105467,1.0,0.0
2021-07-21,0.15,0.0,0.0,3.25,1.5,2.13,5.4,3.3,15.306,0.0,6.0,1.209,1593.0,4.7,101.2905,4323.06005859375,92.97000122070312,1.0,0.0
2021-09-15,0.15,0.0,0.0,3.25,1.5,2.46,4.8,3.3,12.747,0.0,6.0,1.209,1560.0,4.6,101.1544,4443.0498046875,92.6500015258789,1.0,0.0
2021-10-27,0.15,0.0,0.0,3.25,24.2,2.75,4.5,7.0,13.25,0.0,7.1,1.217,1572.0,4.8,101.109,4574.7900390625,93.9499969482422,1.0,0.0
2021-12-08,0.15,0.0,0.0,3.25,24.2,3.33,3.9,7.0,13.244,0.0,7.1,1.217,1787.0,4.8,101.0232,4686.75,96.37000274658205,1.0,0.0
2022-01-19,0.15,0.0,0.0,3.25,-4.6,3.71,4.0,-2.0,14.798,0.0,8.4,1.217,1669.0,4.9,100.9425,4577.10986328125,95.7300033569336,1.0,0.0
2022-03-09,0.4,25.0,1.0,3.25,-4.6,3.99,3.6,-2.0,14.049,0.0,8.4,1.217,1713.0,5.4,100.6459,4170.7001953125,99.05999755859376,1.0,0.0
2022-04-27,0.9,50.0,1.0,3.5,10.6,4.03,3.6,-0.6,14.486,0.0,9.1,1.238,1803.0,5.4,100.414,4175.2001953125,102.3000030517578,1.0,0.0
2022-06-08,1.65,75.0,1.0,4.0,10.6,4.63,3.6,-0.6,13.748,0.0,9.1,1.238,1561.0,5.3,99.8346,4160.68017578125,102.31999969482422,1.0,0.0
2022-07-20,2.4,75.0,1.0,4.75,16.2,4.72,3.5,2.7,13.965,0.0,4.5,1.271,1371.0,5.2,99.57693,3936.68994140625,106.68000030517578,1.0,0.0
2022-09-14,3.15,75.0,1.0,5.5,16.2,4.98,3.5,2.7,14.191,0.0,4.5,1.271,1463.0,4.7,99.20307,3932.68994140625,109.81999969482422,1.0,0.0
2022-10-26,3.9,75.0,1.0,6.25,-3.5,4.98,3.7,2.6,15.157,0.0,3.9,1.323,1432.0,5.0,99.06164,3859.110107421875,110.9499969482422,1.0,0.0
2022-12-07,4.4,50.0,1.0,7.0,-3.5,4.86,3.5,2.6,14.048,0.0,3.9,1.323,1357.0,4.3,98.87978,3941.260009765625,105.58000183105467,1.0,0.0
2023-01-25,4.65,25.0,1.0,7.5,6.8,4.78,3.4,2.2,15.605,0.0,3.9,1.392,1340.0,3.9,98.84712,4016.949951171875,101.91999816894533,1.0,0.0
2023-03-15,4.9,25.0,1.0,7.75,6.8,4.82,3.5,2.2,15.441,0.0,3.9,1.392,1380.0,3.6,98.84515,3919.2900390625,103.5999984741211,1.0,0.0
2023-04-26,5.15,25.0,1.0,8.0,-9.3,4.88,3.4,2.1,16.21,0.0,1.7,1.459,1348.0,4.7,98.89799,4071.6298828125,101.86000061035156,1.0,0.0
2023-06-07,5.15,0.0,0.0,8.25,-9.3,4.33,3.6,2.1,16.607,0.0,1.7,1.459,1418.0,3.3,99.11828,4283.85009765625,104.12999725341795,1.0,0.0
2023-07-19,5.4,25.0,1.0,8.25,6.0,4.17,3.5,5.2,16.446,0.0,3.5,1.511,1451.0,3.4,99.24326,4554.97998046875,99.94000244140624,1.0,0.0
2023-09-13,5.4,0.0,0.0,8.5,6.0,3.84,3.8,5.2,16.183,0.0,3.5,1.511,1346.0,3.2,99.42249,4461.89990234375,104.70999908447266,1.0,0.0
2023-10-25,5.4,0.0,0.0,8.5,6.0,3.64,3.9,5.2,15.91,0.0,3.5,1.511,1372.0,4.2,99.47179,4247.68017578125,106.2699966430664,1.0,0.0
